Participant Number,Swing Number,Swing Start Time (s),Swing End Time (s),FPV Impact Frame,FPV Impact Timestamp (s),Front-View Impact Frame,Front-View Impact Timestamp (s),Timestamp Offset (s),Total Distance (m),Carry Distance (m),Ball Speed (m/s),Club Speed (m/s),Launch Angle (deg),Horizontal Launch Angle (deg),Clubface Angle (deg),Backspin (rpm),Sidespin (rpm),Lateral Distance (m)
17,68,1761120933.268794,1761120938.372532,-,-,72,1761120935.670581,-,123.95,114.99,41.5,29.9,23.9,R 2.2,1.7,6546,64,R 0.4
17,69,1761121011.892235,1761121015.895059,-,-,69,1761121014.193864,-,130.67,116.29,42.5,33.9,18.3,L 0.9,-1,4741,5,L 2.2
17,70,1761121038.243479,1761121041.646914,-,-,72,1761121040.645827,-,121.3,96.77,43.5,37.1,6.9,L 2.4,-2.1,3416,146,L 0.9
17,71,1761121061.327819,1761121066.765061,-,-,74,1761121063.796232,-,125.96,113.22,42.2,32.6,21.7,L 0.3,-0.2,6171,162,R 5.1
17,72,1761121086.212415,1761121089.548095,-,-,77,1761121088.814247,-,104.71,103.26,39.9,23.4,23.6,R 13.2,13.1,6266,644,R 29.3
17,73,1761121108.762051,1761121113.735191,-,-,72,1761121111.163758,-,131.07,121.91,43.5,31,23.1,R 2.2,2,6607,146,R 11.7
17,74,1761121136.381874,1761121141.319705,-,-,71,1761121138.750221,-,129.86,112.13,43.4,32.4,13.1,L 1.6,-1.8,4146,-224,L 7.9
17,75,1761121157.530047,1761121162.033679,-,-,78,1761121160.132325,-,140.61,133.14,46.3,39,19.4,R 0.3,-0.4,6063,-244,L 5.8
17,76,1761121182.481865,1761121185.984356,-,-,81,1761121185.183794,-,101.03,97.47,33.5,31.6,21.9,R 17.0,16.5,5413,651,R 29.0
17,77,1761121202.630355,1761121207.803509,-,-,74,1761121205.098604,-,129.42,117.03,42,34.9,19.8,L 3.2,-3,5993,2,L 0.2
17,78,1761121227.04725,1761121232.017581,-,-,80,1761121229.715941,-,136.54,125.17,44.4,33.4,24.1,L 2.1,-2.2,7072,-3,L 6.2
17,79,1761121253.165952,1761121258.770103,-,-,74,1761121255.634216,-,126.48,114.94,42.2,32.3,23.1,L 1.0,-0.5,5603,422,R 12.5
17,80,1761121341.229645,1761121347.667622,-,-,75,1761121343.731444,-,129.51,110.65,42.7,37.1,2208,R 2.3,2,6500,119,R 10.3
17,81,1761121361.077304,1761121365.713131,-,-,74,1761121363.544821,-,136.24,124.23,44.6,34.4,20.9,L 0.2,-0.6,6239,-48,L 3.3
17,82,1761121383.259637,1761121388.03012,-,-,74,1761121385.727784,-,126.76,116.12,42.4,31.5,21.9,R 1.1,0.9,6227,87,R 6.4
17,83,1761121414.182272,1761121418.852284,-,-,73,1761121416.617335,-,123.96,123.53,44.4,34.5,22.1,L 0.0,-0.8,6083,111,R 2.9
17,84,1761121437.098824,1761121442.135715,-,-,75,1761121439.600568,-,123.4,113.26,41.7,32.1,22.1,L 2.1,-1.9,6179,72,L 1.6
17,85,1761121458.615088,1761121462.884222,-,-,75,1761121461.116512,-,129.56,117.81,42.8,31.9,22,R 1.0,0.7,6334,52,R 5.7
17,86,1761121485.132972,1761121490.837575,-,-,73,1761121487.56736,-,133.37,121.39,43.6,33.5,19.5,L 1.4,-0.3,5917,566,R 17.6
17,87,1761121528.898294,1761121533.935278,-,-,75,1761121531.400106,-,124.66,122.26,44.2,23.6,20.6,L 1.8,-2.2,6172,-177,L 9.2
17,88,1761121554.516802,1761121559.687069,-,-,73,1761121556.951847,-,133.03,132.47,46.4,34.1,22.9,R 2.0,1.3,6003,-54,R 2.2
17,89,1761121579.501501,1761121584.104833,-,-,72,1761121581.903228,-,125.7,114.92,42.1,30.8,21.7,R .21,1.5,616,40,R 7.6
17,90,1761121606.520988,1761121611.859447,-,-,75,1761121609.022808,-,134.73,122.69,44.2,37.8,21.8,R 1.6,1.9,6492,-104,R 0.3
17,91,1761121672.870264,1761121679.339875,-,-,74,1761121675.33804,-,131.18,119.1,43.2,32,21,R 1.6,1.2,6150,82,R 7.7
17,92,1761121695.385036,1761121699.58812,-,-,72,1761121697.786711,-,136.95,123.2,44.4,34.4,22.6,R 0.6,0.3,6607,52,R 5.0
17,93,1761121720.003451,1761121725.139269,-,-,73,1761121722.437952,-,136.04,119.64,32.6,37.4,16,L 4.0,-2.9,4366,812,R 12.4
17,94,1761121742.518711,1761121747.122362,-,-,75,1761121745.021325,-,137.61,129,43.6,33.7,21.3,R 1.6,1.3,6459,103,R 8.9
17,95,1761121763.9345,1761121769.138336,-,-,76,1761121766.469723,-,125.69,124.05,44.1,39.1,23.5,L 1.1,-1.1,6570,76,R 1.3
17,96,1761121790.554086,1761121795.955946,-,-,77,1761121793.121652,-,134.09,122.15,43.9,36.1,21.9,R 0.1,-0.1,6436,7,R 0.6
17,97,1761121814.704507,1761121819.74351,-,-,72,1761121817.105871,-,133.07,121.5,44,33.9,23.6,R 0.1,-0.3,6153,-93,L 3.2
17,98,1761121836.086591,1761121841.757313,-,-,74,1761121838.555002,-,126.15,124.56,64.5,36.7,21.2,R 1.9,1.6,6370,125,R 9.9
17,99,1761121861.104623,1761121866.47517,-,-,76,1761121863.639763,-,131.72,123.17,43.1,23.2,23.4,L 0.2,-0.2,6703,112,R 4.4
18,1,1761191506.817461,1761191509.352605,37,1761191508.349771,57,1761191508.718814,0.37,128.83,111.57,43.4,29.2,13.1,R 3.9,2.7,4149,-454,L 0.9
18,2,1761191528.533681,1761191533.769466,90,1761191532.676441,136,1761191533.069138,0.39,141.42,126.7,45,30.6,16.1,R 4.6,4,4409,121,R 13.8
18,3,1761191550.14874,1761191552.250266,31,1761191551.373799,47,1761191551.716546,0.34,148.3,133.15,47.2,33.5,19.4,R 2.9,1.7,4335,-501,L 6.4
18,4,1761191571.330705,1761191573.832445,39,1761191572.936075,60,1761191573.332098,0.4,140.83,123.89,46.3,32.2,13,R 4.3,2.8,4173,-598,L 4.3
18,5,1761191591.244959,1761191593.14631,26,1761191592.186311,40,1761191592.579237,0.39,150.02,135.04,47.3,33.6,19.1,R 7.9,6.5,4307,-278,R 11.5
18,6,1761191614.595237,1761191616.830191,33,1761191615.909841,51,1761191616.296488,0.39,136.04,117.43,45.8,31.5,11.3,R 2.9,1.8,4071,-477,L 3.9
18,7,1761191631.407335,1761191633.408789,27,1761191632.395684,42,1761191632.808353,0.41,163.7,147.97,49.7,35.2,14.9,R 7.9,6.8,4294,39,R 26.1
18,8,1761191648.821753,1761191650.922518,31,1761191649.937022,47,1761191650.388996,0.45,140.84,124.02,65.5,32.1,16.5,R 1.8,1.1,4254,-271,L 2.7
18,9,1761191666.698592,1761191668.733518,29,1761191667.779931,45,1761191668.199795,0.42,149.61,132.46,47.3,33.2,14.1,R 3.6,2.6,4233,-405,L 2.0
18,10,1761191683.678123,1761191685.779988,31,1761191684.868914,47,1761191685.246269,0.38,159.49,144.72,49.8,37,15.5,R 6.9,5.6,4353,-611,L 1.2
18,11,1761191826.481861,1761191828.582869,31,1761191827.684933,48,1761191828.082611,0.4,155.83,139.65,48.8,36.3,14.2,R 2.2,1,4247,-462,L 7.6
18,12,1761191845.794441,1761191847.929763,29,1761191846.883242,43,1761191847.261599,0.38,145.53,127,47.1,39.6,13.9,R 5.8,4.3,4224,-772,L 5.9
18,13,1761191861.242936,1761191863.243648,28,1761191862.241888,43,1761191862.676876,0.43,159.87,144.37,50.1,35.3,14.9,R 5.6,4.3,4276,-687,L 6.3
18,14,1761191874.483322,1761191876.851162,35,1761191875.882792,54,1761191876.283919,0.4,150.19,142.86,49.5,35.1,15.1,R 5.5,4.3,4315,-613,L 4.3
18,15,1761191888.79294,1761191890.727226,26,1761191889.725783,40,1761191890.126933,0.4,130.3,112.27,42.8,36,13.7,R 7.5,6.8,4173,434,R 20.2
18,16,1761191902.502856,1761191904.539245,33,1761191903.821383,49,1761191904.172352,0.35,152.33,136.12,69.1,33.73,13.9,R 1.4,0.5,4230,-399,L 7.3
18,17,1761191916.479121,1761191918.713678,31,1761191917.664373,48,1761191918.08,0.42,130.11,115.71,63.3,30.9,16.3,R 5.9,4.5,4326,-513,R 1.4
18,18,1761191929.924345,1761191932.892168,28,1761191930.951624,43,1761191931.358245,0.41,99.17,73.97,43,35,5.1,R 1.7,0.9,2811,-323,L 0.7
18,19,1761191946.336278,1761191948.3368,27,1761191947.320708,42,1761191947.736667,0.42,132.49,114.71,43.6,36.6,13.3,R 7.5,6.3,4164,-61,R 14.5
18,20,1761191960.846738,1761191962.580434,24,1761191961.668917,37,1761191962.08034,0.41,132.03,114.93,44.6,31.1,13,R 5.2,3.5,4162,-681,L 3.3
18,21,1761191975.123913,1761191977.258101,31,1761191976.269736,47,1761191976.691197,0.42,151.32,134.94,48.4,37.12,13.9,R 6.0,4.5,4220,-825,L 7.2
18,22,1761191990.599715,1761191992.734564,31,1761191991.779948,47,1761191992.167494,0.39,147.4,122,46.9,33.4,15.7,R 6.0,2.9,4369,-557,L 3.9
18,23,1761192014.916572,1761192017.485753,38,1761192016.434618,58,1761192016.851579,0.42,96.31,72.04,39.5,32.2,7.8,R 23.8,18.4,34.27,527,R 25.6
18,24,1761192028.861918,1761192031.264466,36,1761192030.328131,55,1761192030.69763,0.37,117.61,53.23,43,35.13,9.7,R 6.8,4.6,3731,-293,R 9.0
18,25,1761192043.670211,1761192046.241117,39,1761192045.282603,60,1761192045.674109,0.39,166.73,132.37,46.4,33.2,16.4,R 5.1,3.9,4459,-514,L 1.4
18,26,1761192057.947784,1761192060.483168,37,1761192059.479247,56,1761192059.84891,0.37,166.18,126.69,47.4,32.73,11.7,R 5.2,4.1,4098,-481,R 0.2
18,27,1761192083.666624,1761192086.735708,48,1761192085.750616,74,1761192086.135278,0.38,139.09,125.14,44.7,33.8,16.4,R 3.7,3,4491,-49,R 6.7
18,28,1761192111.820371,1761192114.288893,37,1761192113.335554,57,1761192113.721792,0.39,139.57,122.42,45.7,32,13.6,R 4.3,2.9,4203,-507,L 4.1
18,29,1761192127.965291,1761192130.533866,39,1761192129.553072,60,1761192129.966758,0.41,125.92,119.96,44,37.3,14.5,R 7.9,7.1,4239,299,R 27.1
18,30,1761192141.308706,1761192143.77652,38,1761192142.840322,58,1761192143.24294,0.4,141.77,126.03,45.3,32.2,15.3,R 1.9,1.4,4321,-13,R 4.7
18,31,1761192155.954782,1761192159.656267,46,1761192157.94636,70,1761192158.289056,0.34,141.35,125.62,45.9,32.4,14.9,R 4.4,3.1,4273,-572,L 3.9
18,32,1761192180.805153,1761192183.472571,38,1761192182.348421,59,1761192182.772384,0.42,106.26,87.03,40.4,27.5,10.1,R 3.1,2.3,3737,-224,R 2.4
18,33,1761192193.5121,1761192195.981962,37,1761192194.978887,56,1761192195.381633,0.4,123.37,124.97,44.5,33.5,17.2,R 6.0,5.7,4589,97,R 18.2
18,34,1761192217.99697,1761192221.032505,46,1761192219.936688,70,1761192220.332,0.4,129.6,113.6,42.9,36.2,14.2,R 3.4,3.1,4220,103,R 13.2
18,35,1761192232.273926,1761192234.843354,39,1761192233.880722,60,1761192234.276348,0.4,120.69,104.06,42,39.3,13.2,R 5.9,4.6,4130,-447,R 3.5
18,36,1761192253.288746,1761192255.923615,40,1761192254.897818,61,1761192255.323227,0.43,129.23,111.44,43,36.5,12.6,R 2.5,0.8,4125,-429,L 3.2
18,37,1761192266.699963,1761192269.368019,40,1761192268.336634,61,1761192268.734352,0.4,150.9,134.04,47.7,40.2,14.3,R 0.6,-0.2,4250,-251,L 0.0
18,38,1761192280.075486,1761192282.74467,40,1761192281.724927,61,1761192282.109565,0.38,146.31,129.57,47.3,34,13.1,R 5.4,4.2,4131,-520,L 0.5
18,39,1761192294.58514,1761192297.086274,37,1761192296.123659,57,1761192296.485992,0.36,133.67,118.4,43.9,37.4,13.3,R 1.3,0.5,4293,-304,L 2.9
18,40,1761192319.736955,1761192322.338833,40,1761192321.384591,61,1761192321.771747,0.39,137.68,115.84,43.8,37,14.4,R 3.9,2.9,4226,-417,L 0.5
18,41,1761192333.313486,1761192335.882109,38,1761192334.873929,57,1761192335.248253,0.37,143.33,127.56,46.1,32.6,15,R 3.1,1.6,4292,-463,L 6.4
18,42,1761192346.556257,1761192349.16085,40,1761192348.211701,61,1761192348.593143,0.38,163.1,128.67,46.2,32.9,15.8,R 3.3,2.2,4376,-647,L 5.7
18,43,1761192372.644886,1761192375.178365,38,1761192374.179939,58,1761192374.578361,0.4,120.2,124.06,45,32.2,16.5,R 0.2,6.5,4476,-520,R 5.5
18,44,1761192507.440106,1761192510.008002,39,1761192508.9832,59,1761192509.407718,0.42,128.57,122.41,43.3,30.4,14,R 2.9,1.7,4796,-433,L 2.7
18,45,1761192533.357673,1761192535.859438,38,1761192534.893785,58,1761192535.292372,0.4,136.43,122.23,44.6,31,16.6,R 3.1,2.2,4576,-333,L 0.7
18,46,1761192552.572805,1761192555.108366,37,1761192554.03855,57,1761192554.474789,0.44,137.49,122.33,44,31.5,16.3,R 6.3,5.4,4417,32,R 18.1
18,47,1761192569.48322,1761192571.951132,37,1761192570.978159,57,1761192571.384181,0.41,133.2,115,44.4,37.2,13.3,R 3.4,2.3,4976,-459,L 3.1
18,48,1761192586.798191,1761192589.332292,38,1761192588.318705,58,1761192588.732125,0.41,137.72,123.65,44.7,32.1,16.6,R 4.0,3,4403,-340,R 1.1
18,49,1761192605.212613,1761192607.814341,40,1761192606.811947,61,1761192607.247669,0.44,142.05,124.04,46,32.1,13.3,R 0.7,-0.2,4107,-330,L 6.2
18,50,1761192623.623684,1761192626.225201,39,1761192625.204954,60,1761192625.624844,0.42,150.24,135.23,47.6,40.2,15.7,R 3.0,2,4320,-426,L 4.2
18,51,1761192642.835034,1761192645.371211,37,1761192644.349719,57,1761192644.737556,0.39,123.2,106.81,42,29.5,14.2,R 2.4,1.3,4106,-378,L 2.2
18,52,1761192659.548602,1761192662.150469,39,1761192661.138976,60,1761192661.550031,0.41,137.03,116.2,43.3,36.6,14.9,R 3.9,3.4,4225,111,R 12.6
18,53,1761192677.363777,1761192679.964362,38,1761192678.88046,58,1761192679.297252,0.42,134.12,119.59,43.7,31.4,16.4,R 6.6,5.3,4448,-254,R 8.9
18,54,1761192713.087229,1761192715.62243,38,1761192714.66413,58,1761192715.021969,0.36,129.33,114.35,43.2,33.6,15.2,R 3.8,2.7,4204,-424,L 0.8
18,55,1761192728.832614,1761192731.467492,39,1761192730.400926,59,1761192730.800435,0.4,125.92,109.48,42.3,29.9,14.6,R 9.7,7.9,4211,-420,R 11.3
18,56,1761192745.111925,1761192747.746603,38,1761192746.638894,58,1761192747.046255,0.41,135.23,120.05,44.5,32.2,14.9,R 2.3,1.1,4271,-413,L 4.2
18,57,1761192761.62136,1761192764.22222,39,1761192763.227683,59,1761192763.588684,0.36,146.01,129.3,46.3,39,13.7,R 2.0,1.6,4210,102,R 9.2
18,58,1761192777.733793,1761192780.201762,36,1761192779.164948,55,1761192779.568088,0.4,99.01,75.23,41,33.4,7.1,R 9.2,-,-,-,-
18,59,1761192791.278141,1761192793.780784,37,1761192792.746705,57,1761192793.180657,0.43,140.07,122.03,45.5,31.8,13.9,R 0.8,-0.1,4193,-322,L 5.6
18,60,1761192817.162335,1761192819.864138,39,1761192818.757524,59,1761192819.163673,0.41,120.05,112.07,42.7,36.4,15.3,R 0.3,-0.2,4269,-267,L 4.7
18,61,1761192832.873733,1761192835.54224,41,1761192834.544438,62,1761192834.94183,0.4,142.65,123.02,45.5,32.6,15.5,R 3.4,2.5,4337,-339,L 0.4
18,62,1761192850.419521,1761192852.954681,37,1761192851.884984,56,1761192852.287537,0.4,127.55,113,42.4,35,14,R 6.6,5.3,4182,102,R 19.2
18,63,1761192866.69815,1761192869.265804,38,1761192868.273304,58,1761192868.632224,0.36,141.9,124.77,46.1,32.2,13.4,R 2.9,1.6,4195,-450,L 4.1
18,64,1761192883.709409,1761192886.243893,39,1761192885.186746,59,1761192885.676849,0.49,131.54,113.71,44.5,37,12.4,R 4.3,2.5,4124,-534,L 2.0
18,65,1761192940.451187,1761192943.053062,39,1761192941.958529,59,1761192942.419286,0.46,117.09,100.62,40.3,28.3,14.1,R 0.5,7.3,4147,67,R 10.7
18,66,1761192956.095765,1761192958.764323,41,1761192957.692279,62,1761192958.16391,0.47,111.65,96.95,30.8,27.5,15.4,R 17.3,16.4,4193,843,R 42.7
18,67,1761192971.376679,1761192973.909941,38,1761192972.874847,58,1761192973.309939,0.44,123.47,103.16,41.9,29.7,15.1,R 6.9,5.5,4243,-427,R 5.7
18,68,1761192987.718256,1761192990.252593,37,1761192989.209888,57,1761192989.619015,0.41,93.77,68.82,42.3,34.5,4.9,R 14.1,13.2,2740,1076,R 29.6
18,69,1761193003.797907,1761193006.399471,39,1761193005.344499,59,1761193005.765774,0.42,126.24,120.73,44.6,31.4,14.4,R 0.9,0.2,4243,-260,L 3.7
18,70,1761193035.819949,1761193038.421781,40,1761193037.463397,61,1761193037.854718,0.39,134.64,118.87,44,37.3,14.6,R 0.6,-0.4,4245,-107,L 1.9
18,71,1761193055.63378,1761193058.201361,39,1761193057.205747,59,1761193057.634507,0.43,130.59,122.53,45.3,32,14.5,R 3.1,2,4257,-517,L 5.0
18,72,1761193072.447955,1761193074.882389,36,1761193073.89154,55,1761193074.282116,0.39,135.37,120.07,44,37.4,14.9,R 1.5,1.2,4260,76,R 6.7
18,73,1761193088.558868,1761193091.126009,38,1761193090.126366,58,1761193090.492552,0.37,139.36,124.21,45.5,32.4,15.5,R 6.0,4.6,4345,-667,L 2.5
18,74,1761193106.005566,1761193108.706775,41,1761193107.663986,63,1761193108.106515,0.44,137.46,123.53,44.7,32.2,17.1,R 6.2,5,4503,-329,R 6.3
18,75,1761193134.290132,1761193136.89109,40,1761193135.924608,61,1761193136.324216,0.4,112.55,96.75,39.8,28,14.3,R 2.1,1,4148,-294,L 0.3
18,76,1761193153.905387,1761193156.507392,38,1761193155.41642,58,1761193155.840291,0.42,125.36,100.16,42.5,35.5,12.3,R 4.6,3.9,4315,1,R 13.9
18,77,1761193170.053081,1761193172.653444,38,1761193171.551031,58,1761193171.986755,0.44,133.49,113.19,44,31.2,15.1,R 1.5,0.3,4231,-379,L 5.0
18,78,1761193185.7949,1761193188.396455,37,1761193187.234674,56,1761193187.696039,0.46,141.7,127.17,45,32.6,15.3,R 2.5,1.4,4372,-479,L 5.9
18,79,1761193200.939363,1761193203.510746,38,1761193202.46735,58,1761193202.877192,0.41,141.01,124.3,45.7,32.2,14.3,R 4.3,2.9,4267,-530,L 3.0
18,80,1761193217.44972,1761193220.186108,42,1761193219.153143,64,1761193219.585673,0.43,134.53,118.9,44.2,37.4,14.5,R 1.3,0.5,4241,-258,L 2.9
18,81,1761193232.863589,1761193235.497693,39,1761193234.385819,60,1761193234.864182,0.48,127.04,111.37,42.5,30.1,15,R 3.8,2,4245,-316,R 1.6
18,82,1761193248.875808,1761193251.543684,40,1761193250.470322,61,1761193250.910112,0.44,140.75,125.2,44.4,33.2,16.1,R 4.3,4,4395,536,R 23.8
18,83,1761193264.784563,1761193267.452664,39,1761193266.354395,59,1761193266.752337,0.4,125.07,112.92,41.9,35.7,15.6,R 0.2,0.2,4204,96,R 4.2
18,84,1761193280.663225,1761193283.297397,40,1761193282.288576,61,1761193282.697223,0.41,147.7,131.56,47,33.1,14.2,R 0.6,-0.4,4246,-371,L 0.1
18,85,1761193296.308355,1761193298.978261,40,1761193297.922112,61,1761193298.34462,0.42,130.44,116.77,42.9,30.9,17.5,R 6.8,5.5,4591,-194,R 10.6
18,86,1761193311.918093,1761193314.587595,40,1761193313.555647,61,1761193313.953869,0.4,140.65,126.71,45.1,39,17,R 1.4,0.9,4576,-40,R 1.0
18,87,1761193330.434171,1761193332.968837,39,1761193331.995202,58,1761193332.401894,0.41,109.19,94.2,39.9,27.6,12.4,R 10.4,16.9,4053,994,R 42.5
18,88,1761193346.510599,1761193349.045096,39,1761193348.079706,59,1761193348.478156,0.4,135.03,119.98,43.93,37.4,15.9,R 1.3,0.9,4350,-141,L 0.9
18,89,1761193366.525542,1761193369.193842,40,1761193368.1227,61,1761193368.560122,0.44,140.01,126.99,45,33.9,17.2,R 0.3,0.1,4603,66,R 4.3
18,90,1761193383.203288,1761193385.80462,39,1761193384.758386,59,1761193385.17096,0.41,131.57,116.31,43.1,33.8,16.1,R 3.9,3.1,4365,-192,R 4.3
18,91,1761193398.781385,1761193401.349099,39,1761193400.341814,59,1761193400.748862,0.41,132.46,117.82,43.5,32.3,16.7,R 4.5,3.4,4461,-386,R 1.2
18,92,1761193414.592664,1761193417.126973,38,1761193416.125672,58,1761193416.526747,0.4,133.66,118.04,43.9,31.2,15.5,R 2.2,1.5,4315,-273,L 1.3
18,93,1761193430.605747,1761193433.10659,37,1761193432.059853,56,1761193432.473033,0.41,137.48,122.37,44.8,31.9,15.7,R 2.4,1.3,4257,-464,L 5.3
18,94,1761193446.685095,1761193449.286071,40,1761193448.244571,61,1761193448.719217,0.47,137.03,125.37,45.1,32.7,18,R 5.8,4.4,4793,-266,R 4.3
18,95,1761193462.228251,1761193464.797348,39,1761193463.777892,59,1761193464.197125,0.42,129.95,115.44,43.1,33.8,16.2,R 3.6,2.5,4372,-266,L 0.1
18,96,1761193478.239581,1761193480.808218,38,1761193479.76218,58,1761193480.174582,0.41,125.23,119.64,44.2,31.4,15.6,R 1.4,0.2,4311,-372,l5.3
18,97,1761193496.418677,1761193498.653603,32,1761193497.650553,49,1761193498.053169,0.4,125.16,113.89,41.7,35.8,16.2,R 2.9,2.5,4367,120,R 12.0
18,98,1761193511.863256,1761193514.364408,37,1761193513.334196,57,1761193513.764129,0.43,133.45,117.16,43.1,30.7,15.9,R 1.4,1,4337,14,R 5.3
18,99,1761193528.109726,1761193530.611148,37,1761193529.518914,55,1761193529.977454,0.46,125.02,111.3,42.1,33.2,16.6,R 3.0,2,4391,-344,L 0.7
18,100,1761193543.488437,1761193546.156047,41,1761193545.15245,62,1761193545.555935,0.4,131.34,116.43,43.5,32.4,16.3,R 6.0,-4.6,4397,-559,R 0.6
18,101,1761193558.897741,1761193561.532652,39,1761193560.48534,59,1761193560.86566,0.38,126.64,119.76,44,31.5,14,R 3.1,2,4220,-440,L 3.0
18,102,1761193574.408241,1761193576.809956,35,1761193575.718016,53,1761193576.176179,0.46,105.26,90.92,23.2,26.8,14,R 20.5,12.5,4079,899,R 43.9
18,103,1761193597.82542,1761193600.360292,38,1761193599.36875,58,1761193599.75991,0.39,137.04,120,44.7,31.4,14,L 0.9,-2.2,4219,-264,L 10.1
18,104,1761193613.26959,1761193615.771323,37,1761193614.751748,57,1761193615.170911,0.42,139.11,124.77,45,32.2,16.2,R 1.6,0.6,4424,-313,L 3.9
18,105,1761193628.348955,1761193630.84955,37,1761193629.845522,57,1761193630.249427,0.4,124.23,119.18,44.1,31.3,15.2,R 0.8,-0.3,4295,-343,L 5.8
18,106,1761193644.262232,1761193646.828818,38,1761193645.807357,59,1761193646.228823,0.42,139.41,123.55,45.1,32,15.6,R 2.2,1.1,4333,-423,L 5.3
18,107,1761193660.537115,1761193663.138886,40,1761193662.122777,60,1761193662.571832,0.45,142.51,127.8,45.9,33,16.3,R 6.8,5.3,4449,-551,R 1.7
19,1,1762391776.436195,1762391779.471688,37,1762391777.409391,57,1762391778.33756,0.93,138.24,121.64,45.1,31.6,13.5,R 1.3,0.7,4193,-202,L 1.8
19,2,1762391797.918244,1762391801.454066,47,1762391799.395282,71,1762391800.286574,0.89,134.74,118.74,44.3,31.2,14.2,R 0.6,-1.1,4223,-297,L 5.2
19,3,1762391831.142196,1762391834.311105,42,1762391832.298995,64,1762391833.277015,0.98,106.41,80.62,44.3,36.1,6,R 0.3,-1.9,3125,-362,L 3.8
19,4,1762391849.556166,1762391852.657847,39,1762391850.628917,60,1762391851.557247,0.93,139.66,126.66,45.3,32.7,17.3,R 1.6,0.6,4627,-322,L 4.2
19,5,1762391874.673678,1762391877.808943,39,1762391875.719876,59,1762391876.64155,0.92,132.86,114,45.3,37.2,10.7,R 0.1,-0.6,4033,-334,L 6.4
19,6,1762391896.08886,1762391899.12433,39,1762391897.154867,59,1762391898.056892,0.9,148.19,136.17,47.6,34.6,18.3,R 3.1,2.1,5082,-405,L 3.8
19,7,1762391918.705108,1762391921.673908,38,1762391919.691657,57,1762391920.639838,0.95,154.46,137.03,48.8,39,12.6,L 0.5,-1.4,4158,-385,L 11.4
19,8,1762391941.821789,1762391944.823865,38,1762391942.879509,58,1762391943.756453,0.88,135.47,117.08,45.6,31.4,11.5,R 2.9,1.1,4082,-485,L 4.0
19,9,1762391969.875247,1762391972.910784,39,1762391970.975374,60,1762391971.876682,0.9,152.31,139.85,48.2,35,18.2,R 0.1,-0.3,4991,-244,L 6.9
19,10,1762391987.18893,1762391990.0237,37,1762391988.103334,56,1762391989.05656,0.95,151.77,136.73,47.9,33.9,14.9,R 1.1,-0.1,4291,-369,L 7.2
19,11,1762392019.777779,1762392022.846679,39,1762392020.80672,59,1762392021.745889,0.94,145.89,130.81,46.4,33,15.5,L 0.8,-1.8,4347,-323,L 10.2
19,12,1762392038.291336,1762392041.226409,38,1762392039.336969,58,1762392040.225802,0.89,141.03,129.92,46,34,20.3,R 3.7,2.9,6239,-43,R 7.2
19,13,1762392057.104682,1762392060.106806,38,1762392058.117628,58,1762392059.039387,0.92,140.49,129.21,46,33.9,20,R 2.2,1.3,6151,-168,R 0.5
19,14,1762392080.221481,1762392083.190143,37,1762392081.205316,57,1762392082.122756,0.92,142.76,129.91,45.6,33.1,18,R 3.6,3.2,4789,185,R 16.4
19,15,1762392096.332558,1762392099.467156,40,1762392097.431805,61,1762392098.366718,0.93,147.74,132.39,47.1,33.3,14.6,R 0.3,-0.4,4268,-391,L 9.2
19,16,1762392119.249556,1762392122.117523,37,1762392120.269085,57,1762392121.150531,0.88,154.46,141.72,48.6,35.1,17.5,R 0.8,0,4702,-338,L 7.9
19,17,1762392137.764927,1762392142.033504,63,1762392139.951215,95,1762392140.933031,0.98,142.65,127.96,45.7,39.2,16.2,R 2.4,1.5,4428,-345,L 3.0
19,18,1762392163.180963,1762392166.383257,40,1762392164.290948,61,1762392165.21574,0.92,140.1,126.68,45.2,32.7,17.5,R 2.0,1.2,4674,-260,L 1.9
19,19,1762392183.095608,1762392185.963612,38,1762392184.123323,58,1762392185.029853,0.91,146.25,131.15,46.5,33,15.5,R 3.6,2.7,4348,-309,R 0.5
19,20,1762392204.911099,1762392207.813647,37,1762392205.908886,57,1762392206.812036,0.9,150.32,139.61,48.6,45.9,20.3,R 2.3,1.5,6297,-190,0.0
19,21,1762392226.726261,1762392229.728028,40,1762392227.844695,61,1762392228.760844,0.92,145.01,133.86,47.1,34.4,19,R 1.8,0.9,5746,-267,L 2.8
19,22,1762392252.945688,1762392255.980559,39,1762392253.987371,60,1762392254.946716,0.96,141.64,128.65,45.7,32.9,17.1,R 0.7,0,4594,-276,L 5.3
19,23,1762392274.69444,1762392277.563635,37,1762392275.672771,57,1762392276.595233,0.92,140.7,129.34,45.9,33.5,19,R 4.5,3.5,5717,-184,R 5.8
19,24,1762392295.075592,1762392298.011043,38,1762392296.056045,58,1762392297.010586,0.95,147.4,136,47.8,35.1,19.4,R 2.6,1.7,6110,-282,L 1.4
19,25,1762392316.491313,1762392319.325984,38,1762392317.541118,58,1762392318.425547,0.88,150.48,138.65,48.1,35,18.3,R 3.6,2.6,5150,-339,L0.9
19,26,1762392343.944313,1762392346.913112,37,1762392344.885756,57,1762392345.845684,0.96,156.73,143.98,49.1,35.5,17.6,R 0.6,-0.3,4727,-340,L 8.9
