Participant Number,Swing Number,Swing Start Time (s),Swing End Time (s),FPV Impact Frame,FPV Impact Timestamp (s),Front-View Impact Frame,Front-View Impact Timestamp (s),Timestamp Offset (s),Total Distance (m),Carry Distance (m),Ball Speed (m/s),Club Speed (m/s),Launch Angle (deg),Horizontal Launch Angle (deg),Clubface Angle (deg),Backspin (rpm),Sidespin (rpm),Lateral Distance (m)
1,48,1758246090.431,1758246093.864333,44,1758246091.232472,66,1758246092.631,1.4,44.66,35.33,22.3,16.5,21.5,R 4.5,2.8,3763,125,R 4.5
1,49,1758246111.397667,1758246114.697667,44,1758246112.182472,66,1758246113.597667,1.42,24.06,13.93,22.9,15.5,4.6,R 9.4,8.3,1846,143,R 4.1
1,50,1758246125.964333,1758246129.264333,43,1758246126.732472,66,1758246128.164333,1.43,35.57,25.03,22.2,15.4,12.4,R 6.6,5.7,3127,143,R 4.5
1,51,1758246140.431,1758246143.731,46,1758246141.282472,69,1758246142.731,1.45,48.59,39.52,22,20.6,23.4,R 5.1,4,3852,-19,R 4.4
2,1,1761646526.128165,1761646529.864385,48,1761646528.503489,72,1761646528.529978,0.03,68.1,56.2,28,20.8,21.5,L 6.1,-5.7,3970,-108,L 9.0
2,2,1761646540.3404,1761646543.709014,46,1761646542.653489,70,1761646542.675055,0.02,67.28,57.18,27.5,21,25,L 1.6,-2,4121,-45,L 3.0
2,3,1761646554.852184,1761646558.253922,44,1761646557.053489,66,1761646557.053341,0,63.26,53.27,26.7,20.3,23.8,L 1.3,-1.3,4012,82,L 0.4
2,4,1761646569.061604,1761646572.229809,46,1761646571.353489,69,1761646571.362696,0.01,-,-,-,-,-,-,-,-,-,-
2,5,1761646875.832197,1761646879.101339,45,1761646878.053489,68,1761646878.100533,0.05,60.09,49.99,25.8,19.5,23.8,L 0.1,0,3972,157,R 1.5
2,6,1761646889.375923,1761646892.745151,48,1761646891.753489,72,1761646891.777772,0.02,60.7,48.02,27.2,23.5,17.2,L 9.8,-9.8,4057,-185,L 11.4
2,7,1761646903.921125,1761646906.990102,46,1761646906.203489,69,1761646906.222875,0.02,49.54,37.99,24.6,17.6,16.6,R 3.7,4,3953,441,R 6.0
2,8,1761646917.530895,1761646920.967077,52,1761646920.10349,70,1761646920.133126,0.03,56.32,46.11,24.9,18.8,23.2,R 1.4,0.9,3919,65,R 2.3
2,9,1761646931.775876,1761646935.211308,46,1761646934.003489,70,1761646934.11055,0.11,41.82,26.37,26,17.9,8.6,R 8.6,8.7,2759,482,R 7.8
2,10,1761646945.886479,1761646949.356425,47,1761646948.203489,71,1761646948.255564,0.05,64.17,54.9,26.6,20,26.4,R 0.7,0.9,4137,216,R 3.5
2,11,1761646961.898213,1761646966.169496,46,1761646964.153489,69,1761646964.200195,0.05,60.48,51.66,25.7,23.4,26.6,R 1.6,1.9,4093,293,R 5.2
2,12,1761646975.778164,1761646979.779657,45,1761646978.003489,68,1761646978.04569,0.04,70.53,61.23,28.2,21.9,26.9,L 0.1,0,4278,172,R 2.4
2,13,1761646990.22143,1761646994.124111,45,1761646992.503489,68,1761646992.489639,-0.01,61.82,51.32,26.7,19.1,21.8,L 4.5,-4.4,3936,-87,L 6.2
2,14,1761647005.231961,1761647009.268774,45,1761647007.503489,68,1761647007.500785,0,70.55,59.42,28.5,21.5,22.7,L 1.8,-2,4055,19,L 1.8
2,15,1761647021.014007,1761647024.949192,46,1761647023.353489,70,1761647023.348404,-0.01,44.72,30.51,26.8,18.2,9.5,R 0.0,0,2972,126,R 0.6
2,16,1761647037.058018,1761647040.961364,45,1761647039.353489,68,1761647039.326209,-0.03,55.88,47.76,23.8,19,30.5,R 9.3,8.9,4145,457,R 15.2
2,17,1761647051.668516,1761647055.670591,46,1761647053.953489,69,1761647053.969687,0.02,60.28,50.21,25.5,19.5,24.9,R 5.1,4.8,3996,355,R 9.6
2,18,1761647066.580886,1761647070.616803,46,1761647068.853489,69,1761647068.88233,0.03,50.33,39.17,25.2,18,16.1,L 1.6,-1.1,3937,200,L 0.1
2,19,1761647079.989536,1761647084.160033,47,1761647082.353489,71,1761647082.358574,0.01,59.76,50.18,25.6,20.6,25,R 3.7,3,4004,79,R 5.4
2,20,1761647093.703798,1761647097.938662,47,1761647096.053489,71,1761647096.071317,0.02,64.33,53.42,26.8,20.2,23,R 3.8,3.8,3982,372,R 8.8
2,21,1761647203.119143,1761647207.021943,46,1761647205.353489,69,1761647205.420768,0.07,63.62,54.22,26.5,21.6,26.3,R 2.2,1.4,4130,-17,R 2.2
2,22,1761647217.396371,1761647221.399347,46,1761647219.70349,70,1761647219.731471,0.03,53.6,44.42,23.6,20,26.6,R 5.3,5.4,3973,448,R 9.6
2,23,1761647231.10689,1761647234.843437,46,1761647233.403489,70,1761647233.442181,0.04,60.91,50.27,26.4,20,21.7,L 5.8,-5.3,3923,-17,L 7.2
2,24,1761647246.219804,1761647250.120974,46,1761647248.503489,69,1761647248.520429,0.02,69.79,61.04,28,22,28,R 0.1,0,4322,117,R 2.0
2,25,1761647260.531173,1761647264.566314,48,1761647262.953489,72,1761647262.932169,-0.02,52.35,41.95,24.1,21.6,21.9,L 2.0,-2,3846,51,L 1.3
2,26,1761647274.840648,1761647279.277726,48,1761647277.203489,72,1761647277.242409,0.04,66.03,55.83,26.9,20.1,25.6,R 4.0,3.9,4119,296,R 8.8
2,27,1761647287.78388,1761647292.88892,66,1761647291.10349,100,1761647291.121443,0.02,61.58,53.03,25.4,20.2,30.2,R 6.6,6.1,4247,373,R 12.7
2,28,1761647303.196261,1761647306.899275,47,1761647305.553489,71,1761647305.56468,0.01,58,48.12,25.2,17.9,24,R 3.8,3.7,3953,289,R 7.0
2,29,1761647317.373183,1761647321.274839,46,1761647319.70349,70,1761647319.707533,0,64.17,53.63,26.7,20.6,24.1,R 2.6,2.3,4022,120,R 4.7
2,30,1761647332.984767,1761647337.054365,48,1761647335.353489,72,1761647335.386532,0.03,63.7,53.25,26.6,20.1,24.2,R 1.1,0.7,4026,71,R 2.5
2,31,1761647403.371429,1761647407.54126,48,1761647405.753489,73,1761647405.806568,0.05,61.49,51.58,26,24,25.3,R 1.4,0.7,4046,-15,R 1.2
2,32,1761647417.148659,1761647421.018472,47,1761647419.453489,70,1761647419.517239,0.06,64.68,54.59,26.8,20.7,24.9,R 0.5,0.1,4076,66,R 1.7
2,33,1761647430.892843,1761647435.329101,47,1761647433.203489,71,1761647433.260997,0.06,65.54,55.35,26.9,20.5,25,R 4.3,4,4084,244,R 8.3
2,34,1761647445.139384,1761647449.374951,46,1761647447.403489,70,1761647447.474125,0.07,63.68,53.43,26.7,20.3,23.9,R 2.1,1.7,4014,113,R 3.9
2,35,1761647458.879126,1761647463.183371,46,1761647461.153489,70,1761647461.214919,0.06,62.2,52.92,25,19.8,29.7,R 13.7,12.8,4189,451,R 21.6
2,36,1761647473.69179,1761647477.861614,46,1761647475.90349,69,1761647475.993562,0.09,60.36,50.75,25.8,18.2,24.8,R 2.4,2.3,4008,170,R 4.6
2,37,1761647489.103195,1761647493.306298,47,1761647491.403489,71,1761647491.471586,0.07,60.43,52.54,24.4,20.2,35.2,R 14.8,14.1,4686,472,R 24.3
2,38,1761647504.715,1761647509.1516,47,1761647507.053489,71,1761647507.083428,0.03,55.57,45.16,24.6,18.5,23.1,R 4.9,4.6,3905,267,R 7.5
2,39,1761647523.229018,1761647527.432209,46,1761647525.553489,70,1761647525.56412,0.01,65.85,55.2,26.5,20.5,26,R 8.1,7.5,4118,387,R 14.8
2,40,1761647538.840902,1761647543.177559,46,1761647541.153489,69,1761647541.142678,-0.01,60.99,50.04,25.8,20.2,22.9,R 9.0,8.2,3943,375,R 13.8
2,41,1761647563.75988,1761647568.029601,46,1761647566.053489,69,1761647566.06157,0.01,6544,55.16,26.7,19.2,25.6,R 6.7,5.6,4106,87,R 9.8
2,42,1761647578.370889,1761647582.240511,47,1761647580.70349,71,1761647580.739383,0.04,54.55,44.75,24.4,18.4,23.2,R 8.3,7.2,3898,112,R 9.5
2,43,1761647592.185025,1761647596.354013,46,1761647594.503489,69,1761647594.519249,0.02,62.09,51.19,26.6,19.9,22.1,L 2.4,-2.7,3941,-66,L 3.7
2,44,1761647606.392539,1761647610.262328,46,1761647608.653489,69,1761647608.695078,0.04,67.26,56.78,27.5,20.9,24.2,L 0.1,-0.3,4079,99,R 1.3
2,45,1761647621.803293,1761647625.942501,44,1761647624.003489,67,1761647624.038821,0.04,66.81,56.57,27.2,20.7,24.8,R 6.2,5.7,4096,247,R 10.9
2,46,1761647636.815022,1761647641.150167,47,1761647639.153489,71,1761647639.182699,0.03,57.26,46.84,25.2,16.6,22.8,R 1.5,1.3,3916,119,R 2.8
